"match_id","maximum_runs","player_name"
598012,16,"R Sathish"
598013,22,"R McLaren"
598014,21,"S Sreesanth"
598015,17,"I Sharma"
598016,21,"MR Marsh"
598017,20,"CH Morris"
598018,22,"NLTC Perera"
598019,16,"KK Cooper"
598020,16,"DP Nannes"
598021,23,"SP Narine"
598023,14,"AB Dinda"
598024,19,"MG Johnson"
598025,19,"M Morkel"
598026,21,"Azhar Mahmood"
598027,15,"JH Kallis"
598028,15,"SW Tait"
598028,15,"SK Trivedi"
598029,17,"JJ Bumrah"
598029,17,"MM Patel"
598030,20,"P Kumar"
598031,18,"RA Jadeja"
598032,29,"AJ Finch"
598033,19,"Azhar Mahmood"
598034,26,"Harbhajan Singh"
598035,17,"MM Sharma"
598036,18,"L Balaji"
598037,20,"I Sharma"
598038,19,"R Vinay Kumar"
598039,21,"DP Nannes"
598040,21,"KW Richardson"
598041,22,"JP Faulkner"
598042,27,"DJ Hussey"
598043,17,"AB Dinda"
598044,16,"NLTC Perera"
598045,16,"A Nehra"
598046,19,"SK Raina"
598047,26,"AB Dinda"
598048,15,"Iqbal Abdulla"
598049,11,"UT Yadav"
598050,22,"MS Gony"
598051,20,"MG Johnson"
598052,21,"AD Mathews"
598053,21,"A Mishra"
598054,17,"SW Tait"
598054,17,"M Morkel"
598055,25,"R McLaren"
598056,25,"I Sharma"
598057,14,"A Chandila"
598058,17,"AD Mathews"
598059,24,"UT Yadav"
598060,14,"PP Ojha"
598061,18,"A Mishra"
598062,15,"A Mithun"
598063,23,"R Ashwin"
598064,19,"IK Pathan"
598065,29,"NLTC Perera"
598066,18,"L Balaji"
598067,18,"A Nehra"
598068,16,"PP Ojha"
598069,26,"RP Singh"
598070,14,"KK Cooper"
598070,14,"SR Watson"
598070,14,"NLTC Perera"
598071,20,"SL Malinga"
598072,24,"UT Yadav"
598073,20,"JO Holder"
598074,16,"Iqbal Abdulla"
598075,19,"SL Malinga"
598076,18,"KV Sharma"
598077,18,"SL Malinga"
598078,18,"KA Pollard"
729284,20,"PP Ojha"
729286,20,"R Sharma"
729288,22,"P Negi"
